Unnamed: 0	fuzzy_match	canonical
65	Scientists at the national oceanic and atmospheric administration's geophysical fluid dynamics laboratory in princeton, new jersey	National Oceanic and Atmospheric Administration
66	Stephen a. montzka, a research chemist with the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
67	Study coauthor mark eakin, coordinator of the national oceanic and atmospheric administration’s coral reef watch program	National Oceanic and Atmospheric Administration
68	The national oceanographic and atmospheric administration	National Oceanic and Atmospheric Administration
69	The researchers from the national oceanic and atmospheric administration’s national centers for environmental information (ncei)	National Oceanic and Atmospheric Administration
70	The study at issue in smith’s inquiry, published by scientists with the national oceanic and atmospheric administration (noaa) in the journal science	National Oceanic and Atmospheric Administration
71	The study, edited by scientists from the national oceanic and atmospheric administration and the uk met office	Rot op met je milieu
72	EPA	Environmental Protection Agency
73	acting environmental protection agency administrator andrew wheeler	Andrew R. Wheeler
74	an environmental protection agency lawyer	Environmental Protection Agency
75	embattled environmental protection agency administrator scott pruitt	Scott Pruitt
76	environmental protection agency	Environmental Protection Agency
77	environmental protection agency administrator gina mccarthy	Gina McCarthy
78	environmental protection agency administrator scott pruitt	Scott Pruitt
79	environmental protection agency chief andrew wheeler	Andrew R. Wheeler
80	environmental protection agency chief scott pruitt	Scott Pruitt
81	environmental protection agency workers	Environmental Protection Agency
82	former environmental protection agency administrator christine todd whitman	Environmental Protection Agency
83	obama's environmental protection agency (epa)	Environmental Protection Agency
84	the environmental protection agency	Environmental Protection Agency
85	the environmental protection agency (epa)	Environmental Protection Agency
86	the environmental protection agency's	Environmental Protection Agency
87	the new chief of the environmental protection agency	Environmental Protection Agency
88	the u.s. environmental protection agency	Environmental Protection Agency
89	the us environmental protection agency	Environmental Protection Agency
90	epa	Environmental Protection Agency
91	Epa	Environmental Protection Agency
92	Acting environmental protection agency administrator andrew wheeler	Andrew R. Wheeler
93	An environmental protection agency lawyer	Environmental Protection Agency
94	Embattled environmental protection agency administrator scott pruitt	Scott Pruitt
95	Environmental protection agency	Environmental Protection Agency
96	Environmental protection agency administrator gina mccarthy	Gina McCarthy
97	Environmental protection agency administrator scott pruitt	Scott Pruitt
98	Environmental protection agency chief andrew wheeler	Andrew R. Wheeler
99	Environmental protection agency chief scott pruitt	Scott Pruitt
100	Environmental protection agency workers	Environmental Protection Agency
101	Former environmental protection agency administrator christine todd whitman	Environmental Protection Agency
102	Obama's environmental protection agency (epa)	Environmental Protection Agency
103	The environmental protection agency	Environmental Protection Agency
104	The environmental protection agency (epa)	Environmental Protection Agency
105	The environmental protection agency's	Environmental Protection Agency
106	The new chief of the environmental protection agency	Environmental Protection Agency
107	The u.s. environmental protection agency	Environmental Protection Agency
108	The us environmental protection agency	Environmental Protection Agency
109	EIA	Energy Information Administration
110	a senior petroleum geologist who works for the energy information administration	Energy Information Administration
111	ayaka jones, a china analyst at the united states energy information administration in washington	Energy Information Administration
112	energy information administration chief linda capuano	Energy Information Administration
113	the energy information administration	Energy Information Administration
114	the u.s. energy information administration	Energy Information Administration
115	the us energy information administration	Energy Information Administration
116	the us energy information administration (eia)	Energy Information Administration
117	u.s. energy information administration analyst elias johnson	Energy Information Administration
118	eia	Energy Information Administration
119	Eia	Energy Information Administration
120	A senior petroleum geologist who works for the energy information administration	Energy Information Administration
121	Ayaka jones, a china analyst at the united states energy information administration in washington	Energy Information Administration
122	Energy information administration chief linda capuano	Energy Information Administration
123	The energy information administration	Energy Information Administration
124	The u.s. energy information administration	Energy Information Administration
125	The us energy information administration	Energy Information Administration
126	The us energy information administration (eia)	Energy Information Administration
127	U.s. energy information administration analyst elias johnson	Energy Information Administration
128	IEA	International Energy Agency
129	a new international energy agency report	International Energy Agency
130	an international energy agency report	International Energy Agency
131	fatih birol, international energy agency executive director	International Energy Agency
132	international energy agency director fatih birol	International Energy Agency
133	keith burnard, a technology expert at the international energy agency	International Energy Agency
134	the international energy agency	International Energy Agency
135	the international energy agency (iea)	International Energy Agency
136	the international energy agency —	International Energy Agency
137	the international renewable energy agency	International Energy Agency
138	the un’s international energy agency (iea)	International Energy Agency
139	iea	International Energy Agency
140	Iea	International Energy Agency
141	A new international energy agency report	International Energy Agency
142	An international energy agency report	International Energy Agency
143	Fatih birol, international energy agency executive director	International Energy Agency
144	International energy agency director fatih birol	International Energy Agency
145	Keith burnard, a technology expert at the international energy agency	International Energy Agency
146	The international energy agency	International Energy Agency
147	The international energy agency (iea)	International Energy Agency
148	The international energy agency —	International Energy Agency
149	The international renewable energy agency	International Energy Agency
150	The un’s international energy agency (iea)	International Energy Agency
151	IPCC	Intergovernmental Panel on Climate Change
152	a downbeat report from the intergovernmental panel on climate change (ipcc), an international group of scientists set up by the united nations	Intergovernmental Panel on Climate Change
153	a major new synthesis report from the un's intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
154	scientists of the intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
155	the 2007 report of the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
156	the conclusions of the 2007 report from the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
157	the fifth assessment report from the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
158	the intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
159	the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
160	the u.n. intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
161	the un intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
162	the un's intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
163	the united nations intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
164	the united nations' intergovernmental panel on climate change	United Nations
165	the united nations’ intergovernmental panel on climate change	United Nations
166	the united nation’s intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
167	the un’s intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
168	IPCC scientists	Intergovernmental Panel on Climate Change
169	IPCC researchers	Intergovernmental Panel on Climate Change
170	the UN's Intergovernmental Panel on Climate Change	Intergovernmental Panel on Climate Change
172	climate	Intergovernmental Panel on Climate Change
173	climate change	Intergovernmental Panel on Climate Change
175	ipcc	Intergovernmental Panel on Climate Change
176	the ipcc’s leaked draft report	Intergovernmental Panel on Climate Change
177	ipcc models	Intergovernmental Panel on Climate Change
178	even the ipcc	Intergovernmental Panel on Climate Change
179	ipcc ar5 hurricane sandy	Intergovernmental Panel on Climate Change
180	the ipcc report	Intergovernmental Panel on Climate Change
181	the entire ipcc process	Intergovernmental Panel on Climate Change
182	the new ipcc report titled “	Intergovernmental Panel on Climate Change
183	the ipcc	Intergovernmental Panel on Climate Change
184	ipcc modelers	Intergovernmental Panel on Climate Change
185	ipcc scientists	Intergovernmental Panel on Climate Change
186	nipcc scientists	Intergovernmental Panel on Climate Change
187	the ipcc said	Intergovernmental Panel on Climate Change
188	singer and the nipcc	Intergovernmental Panel on Climate Change
189	the nipcc	Intergovernmental Panel on Climate Change
190	climate change (ipcc) report	Intergovernmental Panel on Climate Change
191	ipcc author myles allen	Intergovernmental Panel on Climate Change
192	ipcc researchers	Intergovernmental Panel on Climate Change
193	the un's intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
194	Ipcc	Intergovernmental Panel on Climate Change
195	A downbeat report from the intergovernmental panel on climate change (ipcc), an international group of scientists set up by the united nations	Intergovernmental Panel on Climate Change
196	A major new synthesis report from the un's intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
197	Scientists of the intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
198	The 2007 report of the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
199	The conclusions of the 2007 report from the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
200	The fifth assessment report from the intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
201	The intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
202	The intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
203	The u.n. intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
204	The un intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
205	The un's intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
206	The united nations intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
207	The united nations' intergovernmental panel on climate change	United Nations
208	The united nations’ intergovernmental panel on climate change	United Nations
209	The united nation’s intergovernmental panel on climate change (ipcc)	Intergovernmental Panel on Climate Change
210	The un’s intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
211	Ipcc scientists	Intergovernmental Panel on Climate Change
212	Ipcc researchers	Intergovernmental Panel on Climate Change
213	The un's intergovernmental panel on climate change	Intergovernmental Panel on Climate Change
215	Climate	Intergovernmental Panel on Climate Change
216	Climate change	Intergovernmental Panel on Climate Change
218	The ipcc’s leaked draft report	Intergovernmental Panel on Climate Change
219	Ipcc models	Intergovernmental Panel on Climate Change
220	Even the ipcc	Intergovernmental Panel on Climate Change
221	Ipcc ar5 hurricane sandy	Intergovernmental Panel on Climate Change
222	The ipcc report	Intergovernmental Panel on Climate Change
223	The entire ipcc process	Intergovernmental Panel on Climate Change
224	The new ipcc report titled “	Intergovernmental Panel on Climate Change
225	The ipcc	Intergovernmental Panel on Climate Change
226	Ipcc modelers	Intergovernmental Panel on Climate Change
227	Nipcc scientists	Intergovernmental Panel on Climate Change
228	The ipcc said	Intergovernmental Panel on Climate Change
229	Singer and the nipcc	Intergovernmental Panel on Climate Change
230	The nipcc	Intergovernmental Panel on Climate Change
231	Climate change (ipcc) report	Intergovernmental Panel on Climate Change
232	Ipcc author myles allen	Intergovernmental Panel on Climate Change
233	National Aeronautics and Space Administration	NASA
234	a retired nasa physicist	NASA
235	dr. hansen of nasa	NASA
236	nasa	NASA
237	nasa administrator dan goldin	NASA
238	nasa ice scientist walt meier	NASA
239	nasa scientist james hansen	James Hansen
240	nasa scientists	NASA
241	nasa's dr. james hansen	James Hansen
242	nasa’s budget	NASA
243	nasa’s james hansen	James Hansen
244	nasa’s leading climate scientist	NASA
245	the former nasa employee	NASA
246	the nasa statement	NASA
247	this nasa simulation	NASA
248	national aeronautics and space administration	NASA
249	National aeronautics and space administration	NASA
250	A retired nasa physicist	NASA
251	Dr. hansen of nasa	NASA
252	Nasa	NASA
253	Nasa administrator dan goldin	NASA
254	Nasa ice scientist walt meier	NASA
255	Nasa scientist james hansen	James Hansen
256	Nasa scientists	NASA
257	Nasa's dr. james hansen	James Hansen
258	Nasa’s budget	NASA
259	Nasa’s james hansen	James Hansen
260	Nasa’s leading climate scientist	NASA
261	The former nasa employee	NASA
262	The nasa statement	NASA
263	This nasa simulation	NASA
264	#NAME?	Naomi Oreskes
265	[al] gore	Al Gore
266	al gore	Al Gore
267	al gore's	Al Gore
268	al gore’s	Al Gore
269	algore	Al Gore
270	america’s preeminent climate oracle al gore	Al Gore
271	environmentalist al gore	Al Gore
272	former democratic vice president al gore	Al Gore
273	former us vice-president al gore	Al Gore
274	former veep al gore	Al Gore
275	former vice president al gore	Al Gore
276	global warming activist al gore	Al Gore
277	gore	Al Gore
278	nobel peace prize winner al gore	Al Gore
279	– al gore	Al Gore
280	— al gore	Al Gore
281	#name?	Naomi Oreskes
282	Al gore	Al Gore
283	Al gore's	Al Gore
284	Al gore’s	Al Gore
285	Algore	Al Gore
286	America’s preeminent climate oracle al gore	Al Gore
287	Environmentalist al gore	Al Gore
288	Former democratic vice president al gore	Al Gore
289	Former us vice-president al gore	Al Gore
290	Former veep al gore	Al Gore
291	Former vice president al gore	Al Gore
292	Global warming activist al gore	Al Gore
293	Gore	Al Gore
294	Nobel peace prize winner al gore	Al Gore
295	climate activist greta thunberg	Greta Thunberg
296	greta	Greta Thunberg
297	greta thunberg	Greta Thunberg
298	greta thunberg the teenage climate puppet	Greta Thunberg
299	greta thunberg, a 17-year-old climate activist from sweden	Greta Thunberg
300	greta thunberg’s face	Greta Thunberg
301	gretathunberg	Greta Thunberg
302	seventeen-year-old greta thunberg	Greta Thunberg
303	swedish climate worrier greta thunberg	Greta Thunberg
304	teen activist greta thunberg	Greta Thunberg
305	teenage greta thunberg	Greta Thunberg
306	thunberg	Greta Thunberg
307	w/ greta thunberg	Greta Thunberg
308	young greta thunberg	Greta Thunberg
309	Climate activist greta thunberg	Greta Thunberg
310	Greta	Greta Thunberg
311	Greta thunberg	Greta Thunberg
312	Greta thunberg the teenage climate puppet	Greta Thunberg
313	Greta thunberg, a 17-year-old climate activist from sweden	Greta Thunberg
314	Greta thunberg’s face	Greta Thunberg
315	Gretathunberg	Greta Thunberg
316	Seventeen-year-old greta thunberg	Greta Thunberg
317	Swedish climate worrier greta thunberg	Greta Thunberg
318	Teen activist greta thunberg	Greta Thunberg
319	Teenage greta thunberg	Greta Thunberg
320	Thunberg	Greta Thunberg
321	W/ greta thunberg	Greta Thunberg
322	Young greta thunberg	Greta Thunberg
323	350.org founder bill mckibben	Bill McKibben
324	also: bill mckibben, founder of 350.org, on the global climate movement	Bill McKibben
325	author bill mckibben	Bill McKibben
326	bill mckibben	Bill McKibben
327	bill mckibben (environmentalist, founder 350.org)	Bill McKibben
328	bill mckibben, founder of 350.org	Bill McKibben
329	bill mckibben, the founder of 350.org	Bill McKibben
330	bill mckibben’s	Bill McKibben
331	climate activist bill mckibben	Bill McKibben
332	environmentalist bill mckibben	Bill McKibben
333	journalist bill mckibben	Bill McKibben
334	longtime environmental activist bill mckibben	Bill McKibben
335	mckibben	Bill McKibben
336	mckib­ben	Bill McKibben
337	the eye of environmentalists — including writer bill mckibben	Bill McKibben
338	Also: bill mckibben, founder of 350.org, on the global climate movement	Bill McKibben
339	Author bill mckibben	Bill McKibben
340	Bill mckibben	Bill McKibben
341	Bill mckibben (environmentalist, founder 350.org)	Bill McKibben
342	Bill mckibben, founder of 350.org	Bill McKibben
343	Bill mckibben, the founder of 350.org	Bill McKibben
344	Bill mckibben’s	Bill McKibben
345	Climate activist bill mckibben	Bill McKibben
346	Environmentalist bill mckibben	Bill McKibben
347	Journalist bill mckibben	Bill McKibben
348	Longtime environmental activist bill mckibben	Bill McKibben
349	Mckibben	Bill McKibben
350	Mckib­ben	Bill McKibben
351	The eye of environmentalists — including writer bill mckibben	Bill McKibben
352	climate-change expert james hansen	James Hansen
353	dr. andrew lacis, a colleague of nasa chief alarmist dr. james hansen	James Hansen
354	example: james hansen, michael shellenberger, and stewart brand	Stewart Brand
355	hansen	James Hansen
356	james e. hansen	James Hansen
357	james hansen	James Hansen
358	james hansen, the famous    nasa  climate scientist	James Hansen
359	leading climate scientist james hansen	James Hansen
360	scientists like phil jones and james hansen	Phil Jones
361	the influential climate scientist james hansen	James Hansen
362	the nation’s leading climate scientist, james hansen	James Hansen
363	— prominent climate scientist james hansen	James Hansen
364	Climate-change expert james hansen	James Hansen
365	Dr. andrew lacis, a colleague of nasa chief alarmist dr. james hansen	James Hansen
366	Example: james hansen, michael shellenberger, and stewart brand	Stewart Brand
367	Hansen	James Hansen
368	James e. hansen	James Hansen
369	James hansen	James Hansen
370	James hansen, the famous    nasa  climate scientist	James Hansen
371	Leading climate scientist james hansen	James Hansen
372	Scientists like phil jones and james hansen	Phil Jones
373	The influential climate scientist james hansen	James Hansen
374	The nation’s leading climate scientist, james hansen	James Hansen
375	@jayinslee	Jay Inslee
376	democratic presidential candidate jay inslee	Jay Inslee
377	gov. jay inslee	Jay Inslee
378	gov. jay inslee of washington, who dominated the event in an unusual way	Jay Inslee
379	governor jay inslee (d-wa))¹	Jay Inslee
380	inslee	Jay Inslee
381	jay inslee	Jay Inslee
382	jay inslee  	Jay Inslee
383	jay inslee's	Jay Inslee
384	jay inslee, washington state’s democratic governor	Jay Inslee
385	sen. kamala harris (d-calif.) and gov. jay inslee (d-wash.)	Jay Inslee
386	then there’s jay inslee	Jay Inslee
387	washington gov. jay inslee	Jay Inslee
388	washington governor jay inslee	Jay Inslee
389	— jay inslee	Jay Inslee
390	— washington gov. jay inslee	Jay Inslee
391	Democratic presidential candidate jay inslee	Jay Inslee
392	Gov. jay inslee	Jay Inslee
393	Gov. jay inslee of washington, who dominated the event in an unusual way	Jay Inslee
394	Governor jay inslee (d-wa))¹	Jay Inslee
395	Inslee	Jay Inslee
396	Jay inslee	Jay Inslee
397	Jay inslee  	Jay Inslee
398	Jay inslee's	Jay Inslee
399	Jay inslee, washington state’s democratic governor	Jay Inslee
400	Sen. kamala harris (d-calif.) and gov. jay inslee (d-wash.)	Jay Inslee
401	Then there’s jay inslee	Jay Inslee
402	Washington gov. jay inslee	Jay Inslee
403	Washington governor jay inslee	Jay Inslee
404	climate scientist michael mann	Michael E. Mann
405	climatologists michael mann and stefan rahmstorf	Stefan Rahmstorf
406	dr. michael mann	Michael E. Mann
407	even michael mann	Michael E. Mann
408	leading climate doomsayer michael mann	Michael Mann
409	mann	Michael E. Mann
410	michael e mann	Michael E. Mann
411	michael mann	Michael E. Mann
412	michael mann from pennsylvania state university	Michael Mann
413	michael mann, a climate researcher at pennsylvania state university	Michael Mann
414	michael mann, a leading climate scientist and professor of meteorology at penn state university	Michael Mann
415	michael mann, director of the earth system science center at penn state university	Michael Mann
416	penn state university climate scientist michael mann	Michael Mann
417	pennsylvania state university climate scientist michael mann	Michael Mann
418	professor michael mann of penn state university	Michael Mann
419	professor michael mann’s	Michael Mann
420	"this week ""leading climate doomsayer"" michael mann"	Michael Mann
421	“michael mann	Michael E. Mann
422	Climate scientist michael mann	Michael E. Mann
423	Climatologists michael mann and stefan rahmstorf	Stefan Rahmstorf
424	Dr. michael mann	Michael E. Mann
425	Even michael mann	Michael E. Mann
426	Leading climate doomsayer michael mann	Michael Mann
427	Mann	Michael E. Mann
428	Michael e mann	Michael E. Mann
429	Michael mann	Michael E. Mann
430	Michael mann from pennsylvania state university	Michael Mann
431	Michael mann, a climate researcher at pennsylvania state university	Michael Mann
432	Michael mann, a leading climate scientist and professor of meteorology at penn state university	Michael Mann
433	Michael mann, director of the earth system science center at penn state university	Michael Mann
434	Penn state university climate scientist michael mann	Michael Mann
435	Pennsylvania state university climate scientist michael mann	Michael Mann
436	Professor michael mann of penn state university	Michael Mann
437	Professor michael mann’s	Michael Mann
438	"This week ""leading climate doomsayer"" michael mann"	Michael Mann
439	""" epa administrator gina mccarthy"	Gina McCarthy
440	environmental protection agency (epa) administrator gina mccarthy	Gina McCarthy
441	epa administrator gina mccarthy	Gina McCarthy
442	epa administrator gina mccarthy and transportation secretary anthony foxx	Gina McCarthy
443	epa head gina mccarthy	Gina McCarthy
444	gina mccarthy	Gina McCarthy
445	gina mccarthy, administrator of the e.p.a. under mr. obama	Gina McCarthy
446	gina mccarthy, former epa administrator	Gina McCarthy
447	gina mccarthy, who led the e.p.a. under former president barack obama	Gina McCarthy
448	lynch’s colleague over that epa, gina mccarthy	Gina McCarthy
449	mccarthy	Gina McCarthy
450	obama epa administrator gina mccarthy	Gina McCarthy
451	obama epa administrator gina mccarthy 	Gina McCarthy
452	Environmental protection agency (epa) administrator gina mccarthy	Gina McCarthy
453	Epa administrator gina mccarthy	Gina McCarthy
454	Epa administrator gina mccarthy and transportation secretary anthony foxx	Gina McCarthy
455	Epa head gina mccarthy	Gina McCarthy
456	Gina mccarthy	Gina McCarthy
457	Gina mccarthy, administrator of the e.p.a. under mr. obama	Gina McCarthy
458	Gina mccarthy, former epa administrator	Gina McCarthy
459	Gina mccarthy, who led the e.p.a. under former president barack obama	Gina McCarthy
460	Lynch’s colleague over that epa, gina mccarthy	Gina McCarthy
461	Mccarthy	Gina McCarthy
462	Obama epa administrator gina mccarthy	Gina McCarthy
463	Obama epa administrator gina mccarthy 	Gina McCarthy
464	ed markey  	Ed Markey
465	ed markey  henry waxman and i	Henry Waxman
466	markey	Ed Markey
467	massachusetts senator edward j. markey	Ed Markey
468	rep. alexandria ocasio-cortez, d-n.y., and sen. ed markey, d-mass	Ed Markey
469	rep. ed markey (d) of massachusetts	Ed Markey
470	senator ed markey, a massachusetts democrat	Ed Markey
471	the 73-year-old markey	Ed Markey
472	Ed markey  	Ed Markey
473	Ed markey  henry waxman and i	Henry Waxman
474	Markey	Ed Markey
475	Massachusetts senator edward j. markey	Ed Markey
476	Rep. alexandria ocasio-cortez, d-n.y., and sen. ed markey, d-mass	Ed Markey
477	Rep. ed markey (d) of massachusetts	Ed Markey
478	Senator ed markey, a massachusetts democrat	Ed Markey
479	The 73-year-old markey	Ed Markey
480	actor leonardo dicaprio	Leonardo DiCaprio
481	dicaprio	Leonardo DiCaprio
482	dicaprio’s	Leonardo DiCaprio
483	environmentalists in the u.k., like dicaprio	Leonardo DiCaprio
484	hollywood actor leonardo dicaprio	Leonardo DiCaprio
485	leonardo dicaprio	Leonardo DiCaprio
486	oscar winner leonardo dicaprio	Leonardo DiCaprio
487	titanic star leonardo dicaprio	Leonardo DiCaprio
488	Actor leonardo dicaprio	Leonardo DiCaprio
489	Dicaprio	Leonardo DiCaprio
490	Dicaprio’s	Leonardo DiCaprio
491	Environmentalists in the u.k., like dicaprio	Leonardo DiCaprio
492	Hollywood actor leonardo dicaprio	Leonardo DiCaprio
493	Leonardo dicaprio	Leonardo DiCaprio
494	Oscar winner leonardo dicaprio	Leonardo DiCaprio
495	Titanic star leonardo dicaprio	Leonardo DiCaprio
496	@naomiaklein	Naomi Klein
497	author and nation contributor naomi klein	Naomi Klein
498	author naomi klein	Naomi Klein
499	left-wing statist favorite naomi klein	Naomi Klein
500	naomi klein	Naomi Klein
501	naomi klein  	Naomi Klein
502	naomi klein’s	Naomi Klein
503	Author and nation contributor naomi klein	Naomi Klein
504	Author naomi klein	Naomi Klein
505	Left-wing statist favorite naomi klein	Naomi Klein
506	Naomi klein	Naomi Klein
507	Naomi klein  	Naomi Klein
508	Naomi klein’s	Naomi Klein
509	""" u.n. secretary-general ban ki-moon"	Ban Ki-moon
510	ban ki-moon, the united nations secretary general	Ban Ki-moon
511	even un secretary general ban ki moon	Ban Ki-moon
512	ki-moon	Ban Ki-moon
513	mr. ban	Ban Ki-moon
514	the publicity stunt of ban ki-moon	Ban Ki-moon
