	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test
31	1	0	t6	Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.	agrees	agrees	agrees	neutral	agrees	neutral	agrees	agrees	0.00248513457543695	0.8927853745452782	0.10472949087928488	1_0_t6	True
32	1	0	t7	The global warming has become a new religion.	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	neutral	0.8659362921748048	0.0038127595635894474	0.13025094826160574	1_0_t7	True
33	1	0	t8	The global warming crowd can’t get any crazier.	disagrees	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.976679668775352	0.0024198593722878216	0.020900471852360103	1_0_t8	False
34	1	0	t9	Global warming is mainly caused by human activity.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	neutral	0.002548499483978273	0.8639366695524816	0.13351483096353994	1_0_t9	False
35	1	1	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees				1_1_s0	False
36	1	1	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	agrees	neutral	agrees	agrees	neutral	agrees	agrees				1_1_s1	False
37	1	1	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_1_s2	False
38	1	1	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees				1_1_s3	False
39	1	1	s4	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_1_s4	False
40	1	1	t0	Across the entire Arctic, forests are burning at a rate unseen in at least 10,000 years.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	0.0032667598868610878	0.4076832684212108	0.5890499716919282	1_1_t0	False
41	1	1	t1	Tackling climate change will be the greatest global health opportunity of the 21st century .	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.001229123346364872	0.992295097009261	0.00647577964437412	1_1_t1	False
42	1	1	t10	Putting a price on carbon dioxide emissions would be central for getting global warming under control.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007715970906517147	0.9980212159551918	0.0012071869541565065	1_1_t10	False
43	1	1	t11	Humans are causing global warming.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	agrees	0.0022384407165717485	0.9454035205578876	0.052358038725540734	1_1_t11	False
44	1	1	t12	There’s no sign of global warming hurting productivity yet.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9643325012734868	0.0019833523593172733	0.03368414636719598	1_1_t12	False
45	1	1	t13	The net effect will be a general and global warming of the earth.	agrees	agrees	agrees	agrees	agrees	neutral	neutral	agrees	0.0026440220980772965	0.8886470522706695	0.10870892563125327	1_1_t13	False
46	1	1	t14	There is no scientific proof that human emissions of carbon dioxide (CO2) are the dominant cause of the minor warming of the Earth’s atmosphere over the past 100 years.	disagrees	disagrees	disagrees	disagrees	disagrees	agrees	disagrees	disagrees	0.9942531836601328	0.004137062455292813	0.0016097538845743788	1_1_t14	True
47	1	1	t15	The West Antarctic Ice Sheet is going to go unstable.	agrees	agrees	neutral	neutral	agrees	neutral	neutral	agrees	0.0034456401568254817	0.5414037597892405	0.4551506000539341	1_1_t15	False
48	1	1	t16	The West Antarctic ice sheet could disappear in as little as 1,000 years.	agrees	neutral	agrees	neutral	agrees	neutral	agrees	neutral	0.003313726043955995	0.4595438369667025	0.5371424369893415	1_1_t16	False
49	1	1	t17	The data isn’t lining up with the Church of Global Warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9981654167222708	0.000801924853962374	0.0010326584237667822	1_1_t17	False
50	1	1	t18	A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States).	agrees	neutral	agrees	agrees	neutral	agrees	neutral	neutral	0.002986890345753655	0.2379070491626414	0.759106060491605	1_1_t18	False
51	1	1	t19	I am hoping that the scientists and politicians who have been blindly demonizing carbon dioxide for 37 years will one day open their eyes and look at the evidence.	disagrees	disagrees	agrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9660695654322254	0.023265344936955524	0.010665089630819092	1_1_t19	True
52	1	1	t2	The world is in the midst of only the third global coral bleaching event ever recorded.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	agrees	0.0278317624376946	0.19101319751939005	0.7811550400429155	1_1_t2	False
53	1	1	t20	The level of carbon dioxide in the atmosphere has never been higher.	agrees	neutral	agrees	agrees	neutral	neutral	agrees	agrees	0.003402778821125899	0.6828744531196944	0.31372276805917965	1_1_t20	False
54	1	1	t21	The earth’s cattle population actually produces more carbon dioxide than automobiles, planes, and all other forms of transport combined.	agrees	neutral	disagrees	neutral	neutral	disagrees	neutral	neutral	0.051513821417090336	0.0175765913769914	0.9309095872059182	1_1_t21	False
55	1	1	t22	There would n’t be much need for emission limits, cap and trade or carbon taxes.	disagrees	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	0.1185072473026293	0.002362245226876497	0.8791305074704943	1_1_t22	False
56	1	1	t23	Climate alarmists’ve got it wrong on global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9981369381655548	0.0008071176430833418	0.0010559441913616952	1_1_t23	False
57	1	1	t24	For-profit carbon project developers work with landowners to qualify large forests for credits.	agrees	neutral	agrees	neutral	neutral	agrees	neutral	neutral	0.002221346893924051	0.09240319864747693	0.9053754544585992	1_1_t24	False
58	1	1	t25	By now there should have been global warming equivalent to 2.8 degrees / century.	disagrees	disagrees	agrees	disagrees	neutral	neutral	neutral	disagrees	0.6131910194449077	0.039498486493238	0.3473104940618543	1_1_t25	False
59	1	1	t26	Climate change models predict a 15 year period of global cooling.	agrees	neutral	neutral	disagrees	neutral	neutral	neutral	agrees	0.04717167265096942	0.1243877704437837	0.8284405569052469	1_1_t26	False
60	1	1	t27	Data on how sea levels are rising, relied upon by the United Nations, is adjusted upward in “ arbitrary ” ways.	neutral	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9610785858859336	0.002079573143316728	0.03684184097074968	1_1_t27	False
61	1	1	t28	At that time, the scientific community had just launched the first satellites that provided images of the sea-ice cover from space.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.00046179436095503465	0.0005118720625118593	0.9990263335765328	1_1_t28	False
62	1	1	t29	Air travel produces far more carbon emissions than train travel.	agrees	neutral	neutral	neutral	neutral	agrees	neutral	neutral	0.0014204906690210533	0.021368420480539715	0.9772110888504392	1_1_t29	True
63	1	1	t3	The increase in extreme flood likelihood will occur prior to reaching 73-percent urbanization because of changes in climate.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0013009040571148756	0.9919201125828568	0.006778983360028445	1_1_t3	False
64	1	1	t4	The study used real-world data to show what actually happened during floods, instead of relying on a model of what “should” happen.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0004526999279330021	0.000508751541765338	0.9990385485303016	1_1_t4	False
65	1	1	t5	Global warming is occurring more slowly than computer models forecast a decade ago.	disagrees	disagrees	neutral	disagrees	neutral	disagrees	disagrees	neutral	0.6178623188610435	0.0033450737575051693	0.3787926073814513	1_1_t5	False
66	1	1	t6	It is thought that the hazardous waste would stay buried and frozen forever beneath the Greenland Ice Sheet, but climate change is warming the Arctic and causing portions of the ice sheet to melt.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0013054800991876875	0.9918999973292156	0.006794522571596561	1_1_t6	False
67	1	1	t7	Human emissions of greenhouse gases are causing global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007670871546221709	0.9980729892665264	0.0011599235788514195	1_1_t7	False
68	1	1	t8	The impacts of long-term global warming are already being felt in coastal flooding, heat waves, intense precipitation and ecosystem change.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007926973227200965	0.9980275555748463	0.0011797471024334258	1_1_t8	False
69	1	1	t9	The value of a global push to limit the human contribution to warming exceeds the economic value of abundant fossil energy.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.05980811470106865	0.6279443066650481	0.3122475786338833	1_1_t9	False
70	1	2	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees				1_2_s0	False
71	1	2	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	neutral	agrees	neutral	agrees	agrees	neutral	neutral				1_2_s1	False
72	1	2	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	agrees	neutral	neutral	neutral	neutral				1_2_s2	False
73	1	2	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees				1_2_s3	False
74	1	2	s4	Some icebergs are cute.	neutral	neutral	neutral	disagrees	neutral	neutral	neutral	neutral				1_2_s4	False
75	1	2	t0	Global warming is not expected to end anytime soon.	agrees	neutral	agrees	neutral	neutral	agrees	agrees	neutral	0.004134649220319444	0.7670870621351137	0.22877828864456684	1_2_t0	True
76	1	2	t1	Hopefully, now that scientists are aware of this discrepancy this discrepancy, this discrepancy can be addressed in future models of disappearing ice.	neutral	agrees	neutral	agrees	neutral	agrees	neutral	neutral	0.003790246581580093	0.1413747369930409	0.8548350164253791	1_2_t1	False
77	1	2	t10	A clear switch away from fossil fuels is now on the cards.	neutral	neutral	agrees	agrees	neutral	neutral	neutral	neutral	0.002683480589249505	0.037662841550574526	0.959653677860176	1_2_t10	False
78	1	2	t11	Human-caused global warming threatens to undermine the past 50 years of gains in public health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006090952273415423	0.9989791913934812	0.00041171337917716267	1_2_t11	False
79	1	2	t12	The science of anthropogenic global warming is settled.	neutral	neutral	agrees	neutral	neutral	neutral	neutral	neutral	0.0023367156744911444	0.027943291136157532	0.9697199931893512	1_2_t12	False
80	1	2	t13	This work bolsters the view of scientists who’ve been calling for a conservation strategy for polar bears and other ice-dependent species focused on areas of the Arctic where sea ice is projected to endure well into this greenhouse-heated era.	neutral	neutral	agrees	agrees	neutral	agrees	agrees	neutral	0.0046855615588694355	0.4769434271292356	0.5183710113118949	1_2_t13	False
81	1	2	t14	In the very act of inventing tools to improve the environment, we will come closer to understanding our place on the planet, as well as in a global society of creatures like ourselves.	neutral	neutral	agrees	neutral	neutral	agrees	neutral	neutral	0.00395823186159078	0.1608811717038171	0.8351605964345922	1_2_t14	False
82	1	2	t15	Since 1978, the winter Arctic ice cap has shrunk by 12 percent per decade.	agrees	neutral	agrees	neutral	agrees	neutral	neutral	neutral	0.0047490774284690155	0.4853698158183292	0.509881106753202	1_2_t15	False
83	1	2	t16	Climate change has the potential to set back global health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.000636925875647853	0.9989538283361066	0.0004092457882455296	1_2_t16	False
84	1	2	t17	They are too pessimistic about the chances of limiting global warming.	neutral	agrees	neutral	agrees	agrees	agrees	agrees	neutral	0.004452878099641429	0.7120077223253239	0.2835393995750347	1_2_t17	False
85	1	2	t18	Global temperature increases have been far, far less than doomsday computer models predicted – about three times smaller.	disagrees	neutral	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9913970856756336	0.0013719494562039439	0.0072309648681623765	1_2_t18	False
86	1	2	t19	Global warming may be occurring more slowly than earlier thought, and that previous climate models may have been on the hot side.	disagrees	neutral	neutral	agrees	disagrees	disagrees	disagrees	neutral	0.8697470514691804	0.005753221314173305	0.12449972721664634	1_2_t19	False
87	1	2	t2	Recent global warming is not only manmade but dangerous.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0007972649192681395	0.9983192702317648	0.0008834648489670447	1_2_t2	False
88	1	2	t20	Global sea levels have risen approximately 8 inches over the past century, with sea-level rises getting higher in some parts of the globe.	neutral	neutral	neutral	agrees	neutral	neutral	agrees	neutral	0.0031552689359308343	0.07528948092424285	0.9215552501398264	1_2_t20	False
89	1	2	t21	This agreement sends a powerful signal that the world is fully committed to a low-carbon future.	neutral	neutral	neutral	agrees	neutral	agrees	agrees	neutral	0.0043623503432194365	0.26417148910364074	0.7314661605531398	1_2_t21	False
90	1	2	t22	People do not focus as much on 2 degrees energy increases in temperatures or increases in sea levels rising.	neutral	neutral	disagrees	agrees	neutral	disagrees	neutral	neutral	0.1955678213140698	0.007385781649472031	0.7970463970364582	1_2_t22	False
91	1	2	t23	Global warming is really such a big deal.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0007829635708597495	0.9983543673881125	0.0008626690410278633	1_2_t23	False
92	1	2	t24	China had released about 900 million metric tons more carbon dioxide from 2011 to 201.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0009403624989082488	0.0010847789033395325	0.9979748585977524	1_2_t24	False
93	1	2	t25	Rapid warming in the Arctic could upset these deposits, melting them and freeing the gas.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	neutral	0.0041016830402863975	0.8150056397423273	0.1808926772173863	1_2_t25	False
94	1	2	t26	Fossil fuel emissions hit an all-time high in 2017 as carbon dioxide emissions surged for the first time in three years.	neutral	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.002852386738707168	0.053755963508733566	0.9433916497525594	1_2_t26	False
95	1	2	t27	Global warming will harm Americans.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006254757920059448	0.9989528804180621	0.000421643789932081	1_2_t27	False
96	1	2	t28	Reducing carbon will slow the global warming that is attributed to greenhouse gases.	agrees	neutral	agrees	disagrees	neutral	agrees	agrees	neutral	0.007860687592152289	0.7819688712937195	0.21017044111412814	1_2_t28	False
97	1	2	t29	Human activity has increased carbon dioxide emissions and affected the climate.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0049439495640134215	0.9559328089461384	0.039123241489848325	1_2_t29	False
98	1	2	t3	If the media put global warming front and center on nightly newscasts and front pages and homepages, people would line up to fight the climate crisis.	agrees	agrees	agrees	disagrees	agrees	agrees	agrees	neutral	0.003337968815647218	0.9877584046464624	0.00890362653789047	1_2_t3	True
99	1	2	t4	Terrestrial ecosystems play a significant role in the global carbon cycle and offset a large fraction of anthropogenic CO2 emissions.	neutral	neutral	disagrees	neutral	agrees	agrees	neutral	neutral	0.0692710167063194	0.28284348214529104	0.6478855011483895	1_2_t4	False
100	1	2	t5	Carbon pollution is like putting the Earth on an escalator of rising temperatures, with natural variation such as El Nino or the cooling effect of volcanoes like hopping up or down a step or two on that escalator.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	neutral	0.001540554961892523	0.9905866699987148	0.007872775039392408	1_2_t5	False
101	1	2	t6	Global warming will never hurt anyone.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9991408179176308	0.0005496993993390496	0.0003094826830302047	1_2_t6	False
102	1	2	t7	Arctic plant species are extremely responsive to fairly rapid climate shifts in the past.	disagrees	neutral	neutral	agrees	neutral	neutral	neutral	neutral	0.08266693703646741	0.005942620596660182	0.9113904423668726	1_2_t7	False
103	1	2	t8	If human-driven climate change continues on the present course, the ice covering the site could begin to melt in about 75 years.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.004948743725023244	0.9555954982520096	0.03945575802296728	1_2_t8	False
104	1	2	t9	The theory that carbon dioxide is a pollutant has not been substantiated scientifically.	disagrees	neutral	disagrees	agrees	disagrees	disagrees	disagrees	disagrees	0.9923040207332254	0.0024213156901866373	0.005274663576587967	1_2_t9	False
105	1	3	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees				1_3_s0	False
106	1	3	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	agrees				1_3_s1	False
107	1	3	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_3_s2	False
108	1	3	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees				1_3_s3	False
109	1	3	s4	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_3_s4	False
110	1	3	t0	Progress in avoiding environmental regrets can come through constructive discussion of ways to cut risks and waste and to sustain a long-term energy quest that extends beyond fossil fuels even while they remain abundant and cheap.	neutral	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0019069101962722536	0.9760481127535582	0.02204497705016947	1_3_t0	True
111	1	3	t1	Most global warming is natural and even if there had been no Industrial Revolution current global temperatures would be almost exactly the same as they are now.	agrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	0.9604544749055062	0.03151012755756614	0.008035397536927745	1_3_t1	False
112	1	3	t10	And that’s not the only way global warming causes psychological problems.	agrees	agrees	agrees	agrees	neutral	neutral	agrees	agrees	0.002405021984043052	0.9492996682824169	0.04829530973354007	1_3_t10	True
113	1	3	t11	The winter conditions either debunked or supported the picture of human-driven global warming.	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	neutral	0.09450111839869772	0.003335375789582961	0.9021635058117192	1_3_t11	False
114	1	3	t12	As global temperatures warm, all of NASA’ll be looking at a very different planet.	agrees	neutral	agrees	agrees	neutral	agrees	agrees	agrees	0.0021124209590348084	0.9689433000866006	0.028944278954364636	1_3_t12	False
115	1	3	t13	Scientists had manipulated data to hide the decline in global temperatures.	disagrees	neutral	disagrees	disagrees	neutral	disagrees	disagrees	neutral	0.8825892419938292	0.0030481958371850948	0.11436256216898605	1_3_t13	False
116	1	3	t14	Damage to Great Barrier Reef From Global Warming Is Irreversible.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006721871357947113	0.9987142832144748	0.0006135296497306356	1_3_t14	False
117	1	3	t15	More than half think global warming will never hurt anyone.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.045612646763625364	0.014645857343295874	0.9397414958930788	1_3_t15	False
118	1	3	t16	The researchers plan to test additional sites and examine how carbon dioxide levels changed through the glacial cycle.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008637410679026834	0.000977230292281538	0.9981590286398158	1_3_t16	False
119	1	3	t17	Ice volume is a better measure than ice area.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008495998814012532	0.0010114378226984595	0.9981389622959002	1_3_t17	False
120	1	3	t18	The world has little more than a decade to limit catastrophic climate change, which will involve millions of people displaced by sea level rise or subjected to deadly heatwaves, as well as the loss of almost all of the planet’s coral reefs.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006709820952464617	0.9987320845773456	0.0005969333274080077	1_3_t18	False
121	1	3	t19	There is no solid evidence of global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9988409045204488	0.000635969441566784	0.0005231260379844255	1_3_t19	False
122	1	3	t2	People will need to see that no catastrophes eventuate on the day the carbon price comes in.	neutral	neutral	disagrees	neutral	agrees	neutral	neutral	neutral	0.057044415201311274	0.014677835385908625	0.92827774941278	1_3_t2	False
123	1	3	t20	A NASA climate scientist is reported as having faked global warming data.	disagrees	neutral	disagrees	disagrees	neutral	neutral	disagrees	neutral	0.7229034664114771	0.003857699720270577	0.27323883386825243	1_3_t20	False
124	1	3	t21	Global warming is occurring.	agrees	neutral	agrees	agrees	agrees	agrees	agrees	agrees	0.00149566502778542	0.9888181870794058	0.009686147892808736	1_3_t21	False
125	1	3	t22	There is low confidence in attribution of drought on a global scale to human influence on climate.	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	0.994894132319604	0.0011271932029430578	0.0039786744774530005	1_3_t22	False
126	1	3	t23	Global warming is a serious problem but raising the cost of polluting forms of energy is a highly inefficient solution.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	disagrees	0.03225372008735098	0.9660644055156142	0.001681874397034826	1_3_t23	False
127	1	3	t24	The political will exists in Washington to pass legislation that could include some kind of a tax on carbon.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	agrees	0.002263374521537726	0.03351106577145853	0.9642255597070036	1_3_t24	False
128	1	3	t25	World sea levels are rising on average.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	agrees	0.002549995342543262	0.9287403145836997	0.068709690073757	1_3_t25	False
129	1	3	t26	Even modest changes in suicide rates due to climate change could [ lead to ] large changes in the associated global health burden, particularly in wealthier countries where current suicide rates are relatively high.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	0.003956953321758439	0.6414077120542183	0.35463533462402325	1_3_t26	False
130	1	3	t27	The scientists responsible for bigging up global warming are a bunch of useless, lying, cheating, conniving, scum-sucking bottom feeders who by rights should be in jail rather than anywhere near a lab.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9988395788122262	0.0006380518915492093	0.0005223692962246163	1_3_t27	False
